gameId,playerId,originalGroup,currentGroup,tangramSet,blockNum,trialNum,phase,phaseNum,target,repNum,utterance,uttLength,umap_x,umap_y
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,A,0.0,0.0,0.0,refgame,1.0,page7-107,1.0,"there is a diamond shape in the middle of this shape, towards its rightside. the left side has three spikes",20,2.812185,-0.9950326
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,0.0,0.0,0.0,refgame,1.0,page7-107,1.0,this shape has an open square in the middle,9,1.7171553,1.3877115
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,A,0.0,0.0,1.0,refgame,1.0,page5-28,1.0,this looks like a bottle that tipped over. the head is on the right side,15,7.4841986,5.6606894
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,0.0,0.0,1.0,refgame,1.0,page5-28,1.0,this shape has a large rectangle then a square and than a slanted square at the end,17,1.6795615,2.064751
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,1.0,7.0,refgame,1.0,page5-28,1.0,"Long rectangle, connected by a square then a diamond on its side",12,2.3773823,-0.5807969
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,1.0,7.0,refgame,1.0,page5-28,1.0,bottle spilled over,3,7.4551716,5.6258593
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,1.0,7.0,refgame,1.0,page5-28,1.0,"Long recutanle on the left side, rectangle",7,1.8525583,2.649469
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,1.0,8.0,refgame,1.0,page7-107,1.0,Diamond hole in the middle of this shape,8,2.8651857,-1.5626999
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,1.0,8.0,refgame,1.0,page7-107,1.0,"looks like a diamond that is white in center, spikes on left side of shape",15,2.9476542,-1.026562
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,1.0,8.0,refgame,1.0,page7-107,1.0,diamond in middle,3,4.259144,-0.905628
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,0.0,5.0,30.0,refgame,1.0,page7-107,2.0,diamond cutout,2,3.5401824,2.5902157
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,A,0.0,5.0,30.0,refgame,1.0,page7-107,2.0,diamond cut out in middle,5,4.669924,-2.808837
01KJN6MMPQTMDYRN709968YFN1,01KJN79ZDP3YNFFHHQA302PJDP,C,C,0.0,5.0,30.0,refgame,1.0,page7-107,2.0,Diamond shaped item from earlier,5,3.3959427,-0.9601596
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,A,0.0,2.0,51.0,refgame,2.0,page3-35,1.0,birdhouse,1,5.425378,-5.707215
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,B,0.0,2.0,51.0,refgame,2.0,page3-35,1.0,birdhouse,1,5.272917,-5.6339765
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,4.0,26.0,refgame,1.0,page7-107,2.0,diamond hole cutout,3,3.5813613,2.6210172
