gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,participantPair,window,length1,length2
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN796KT7FCNV2F9QNCQDSES,01KJN78CQJ3KY7VMGAR6F3D4S0,C,B,0,0.0,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN796KT7FCNV2F9QNCQDSES,phase1_final,9,1
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN796KT7FCNV2F9QNCQDSES,01KJN78JVY5FN5QXW9XGGE72RG,C,A,0,0.0,01KJN78JVY5FN5QXW9XGGE72RG_01KJN796KT7FCNV2F9QNCQDSES,phase1_final,9,2
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN796KT7FCNV2F9QNCQDSES,01KJN79ZDP3YNFFHHQA302PJDP,C,C,1,0.0,01KJN796KT7FCNV2F9QNCQDSES_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final,9,11
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.0,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN78JVY5FN5QXW9XGGE72RG,phase1_final,1,2
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.0,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final,1,11
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.0,01KJN78JVY5FN5QXW9XGGE72RG_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final,2,11
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.0,01KJN78B0TFR8F59JDGD057XNS_01KJN78M7563R5D9TQE5G142DA,phase1_final,6,7
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.25,01KJN78B0TFR8F59JDGD057XNS_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final,6,1
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN788SPAKVVBHX9T9FDQWAF,A,B,0,0.25,01KJN788SPAKVVBHX9T9FDQWAF_01KJN78B0TFR8F59JDGD057XNS,phase1_final,6,1
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,0.5,01KJN78B0TFR8F59JDGD057XNS_01KJN791EPN054R2NTQQ1BFXJ5,phase1_final,6,2
