"gameId","condition","coefficient","std_error","t_value","n_pairs","n_targets","n_participant_pairs","convergence_warning","warnings"
0,"Separate",0.138114552668951,0.0330177021286716,4.18304557145472,180,12,15,FALSE,""
1,"Separate",0.175834255534467,0.0503258784412909,3.49391329034805,180,12,15,FALSE,""
2,"Separate",0.136493381664709,0.0190779484825945,7.15451044378471,180,12,15,FALSE,""
3,"Separate",0.272015419366113,0.0374278201980037,7.26773341132547,180,12,15,FALSE,""
4,"Separate",0.244400107957146,0.0463660812018213,5.27109692305732,180,12,15,FALSE,""
5,"Separate",0.244178142070909,0.0513831521952551,4.75210514806559,180,12,15,FALSE,""
6,"Separate",0.193306399336844,0.0479046825665827,4.03522973079235,180,12,15,FALSE,""
7,"Separate",0.127899891645132,0.0732189161771371,1.74681487138796,180,12,15,FALSE,""
8,"Separate",0.149060170890557,0.0503729182609206,2.95913312225547,180,12,15,FALSE,""
9,"Separate",0.270681371144881,0.0356432841677532,7.59417594268065,180,12,15,FALSE,""
10,"Separate",0.129813269643042,0.0449775645879661,2.88617827203951,180,12,15,FALSE,""
11,"Separate",0.212400768090179,0.0363460183139244,5.84385244776062,180,12,15,FALSE,""
