id,batchID,batchIDLastChangedAt,block_num,block_numLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,name,nameLastChangedAt,phase,phaseLastChangedAt,phase_num,phase_numLastChangedAt,speaker_index,speaker_indexLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,target,targetLastChangedAt,target_num,target_numLastChangedAt,target_order,target_orderLastChangedAt,transition_type,transition_typeLastChangedAt,trial_num,trial_numLastChangedAt,_sourceRun
01KJN7JJ144X9C126M86JNY5Y5,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:36:40.996780929Z,2.0,2026-03-01T17:36:40.996780929Z,True,2026-03-01T18:13:17.988418348Z,01KJN6MMQ03KZPZN0275VZXK6R,2026-03-01T17:36:40.996780929Z,51,2026-03-01T17:36:40.996780929Z,False,2026-03-01T18:12:51.489117748Z,Phase 2: Block 3,2026-03-01T17:36:40.996780929Z,refgame,2026-03-01T17:36:40.996780929Z,2.0,2026-03-01T17:36:40.996780929Z,2.0,2026-03-01T17:36:40.996780929Z,2,2026-03-01T17:36:42.160011193Z,True,2026-03-01T18:12:50.562589046Z,page5-28,2026-03-01T17:36:40.996780929Z,2.0,2026-03-01T17:36:40.996780929Z,"[""page7-107"",""page7-255"",""page5-28"",""page9-46"",""page3-35"",""page-B""]",2026-03-01T17:36:40.996780929Z,,,50.0,2026-03-01T17:36:40.996780929Z,20260301_132907
01KJN7JJ16T4F6S4PFHQFRAY28,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:36:40.998522879Z,1.0,2026-03-01T17:36:40.998522879Z,True,2026-03-01T18:10:13.106592931Z,01KJN6MMQ03KZPZN0275VZXK6R,2026-03-01T17:36:40.998522879Z,45,2026-03-01T17:36:40.998522879Z,False,2026-03-01T18:09:44.697734722Z,Phase 2: Block 2,2026-03-01T17:36:40.998522879Z,refgame,2026-03-01T17:36:40.998522879Z,2.0,2026-03-01T17:36:40.998522879Z,1.0,2026-03-01T17:36:40.998522879Z,2,2026-03-01T17:36:42.041577563Z,True,2026-03-01T18:09:43.208641049Z,page5-28,2026-03-01T17:36:40.998522879Z,2.0,2026-03-01T17:36:40.998522879Z,"[""page7-255"",""page3-35"",""page5-28"",""page9-46"",""page-B"",""page7-107""]",2026-03-01T17:36:40.998522879Z,,,44.0,2026-03-01T17:36:40.998522879Z,20260301_132907
01KJN7K5G5WAEHV15ZSNYXBM25,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:37:00.933451289Z,4.0,2026-03-01T17:37:00.933451289Z,True,2026-03-01T17:58:54.769518989Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T17:37:00.933451289Z,25,2026-03-01T17:37:00.933451289Z,False,2026-03-01T17:58:26.424127986Z,Phase 1: Block 5,2026-03-01T17:37:00.933451289Z,refgame,2026-03-01T17:37:00.933451289Z,1.0,2026-03-01T17:37:00.933451289Z,1.0,2026-03-01T17:37:00.933451289Z,2,2026-03-01T17:37:01.862219089Z,True,2026-03-01T17:58:25.853745766Z,page3-35,2026-03-01T17:37:00.933451289Z,1.0,2026-03-01T17:37:00.933451289Z,"[""page-B"",""page3-35"",""page7-107"",""page5-28"",""page9-46"",""page7-255""]",2026-03-01T17:37:00.933451289Z,,,25.0,2026-03-01T17:37:00.933451289Z,20260301_132907
01KJN7K5J4M8ZP49YPQF1AN3HY,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:37:00.9965157Z,3.0,2026-03-01T17:37:00.9965157Z,True,2026-03-01T17:54:35.585252728Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T17:37:00.9965157Z,19,2026-03-01T17:37:00.9965157Z,False,2026-03-01T17:53:41.020025542Z,Phase 1: Block 4,2026-03-01T17:37:00.9965157Z,refgame,2026-03-01T17:37:00.9965157Z,1.0,2026-03-01T17:37:00.9965157Z,0.0,2026-03-01T17:37:00.9965157Z,2,2026-03-01T17:37:01.700946063Z,True,2026-03-01T17:53:40.470104005Z,page7-107,2026-03-01T17:37:00.9965157Z,1.0,2026-03-01T17:37:00.9965157Z,"[""page-B"",""page7-107"",""page9-46"",""page3-35"",""page7-255"",""page5-28""]",2026-03-01T17:37:00.9965157Z,,,19.0,2026-03-01T17:37:00.9965157Z,20260301_132907
01KJN7K5KA3E984TAA3QPV7RDV,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:37:01.034420228Z,4.0,2026-03-01T17:37:01.034420228Z,True,2026-03-01T18:15:17.48336956Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T17:37:01.034420228Z,62,2026-03-01T17:37:01.034420228Z,False,2026-03-01T18:14:59.582341636Z,Phase 2: Block 5,2026-03-01T17:37:01.034420228Z,refgame,2026-03-01T17:37:01.034420228Z,2.0,2026-03-01T17:37:01.034420228Z,1.0,2026-03-01T17:37:01.034420228Z,2,2026-03-01T17:37:02.794971068Z,True,2026-03-01T18:14:58.728847164Z,page7-255,2026-03-01T17:37:01.034420228Z,1.0,2026-03-01T17:37:01.034420228Z,"[""page7-107"",""page7-255"",""page5-28"",""page3-35"",""page-B"",""page9-46""]",2026-03-01T17:37:01.034420228Z,,,61.0,2026-03-01T17:37:01.034420228Z,20260301_132907
01KJN7JJ1A9ED4KAF41TVNW0W6,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:36:41.0020182Z,0.0,2026-03-01T17:36:41.0020182Z,True,2026-03-01T17:38:50.744727734Z,01KJN6MMQ03KZPZN0275VZXK6R,2026-03-01T17:36:41.0020182Z,1,2026-03-01T17:36:41.0020182Z,False,2026-03-01T17:37:53.437524752Z,Phase 1: Block 1,2026-03-01T17:36:41.0020182Z,refgame,2026-03-01T17:36:41.0020182Z,1.0,2026-03-01T17:36:41.0020182Z,0.0,2026-03-01T17:36:41.0020182Z,2,2026-03-01T17:36:41.212309232Z,True,2026-03-01T17:37:53.022886965Z,page3-35,2026-03-01T17:36:41.0020182Z,1.0,2026-03-01T17:36:41.0020182Z,"[""page7-255"",""page3-35"",""page5-28"",""page7-107"",""page-B"",""page9-46""]",2026-03-01T17:36:41.0020182Z,,,1.0,2026-03-01T17:36:41.0020182Z,20260301_132907
01KJN7JJ1YCSZJVTYD3GC94ZHQ,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:36:41.022715455Z,4.0,2026-03-01T17:36:41.022715455Z,True,2026-03-01T17:57:55.315457781Z,01KJN6MMQ03KZPZN0275VZXK6R,2026-03-01T17:36:41.022715455Z,25,2026-03-01T17:36:41.022715455Z,False,2026-03-01T17:57:30.322111712Z,Phase 1: Block 5,2026-03-01T17:36:41.022715455Z,refgame,2026-03-01T17:36:41.022715455Z,1.0,2026-03-01T17:36:41.022715455Z,1.0,2026-03-01T17:36:41.022715455Z,2,2026-03-01T17:36:41.654839456Z,True,2026-03-01T17:57:29.7826864Z,page9-46,2026-03-01T17:36:41.022715455Z,1.0,2026-03-01T17:36:41.022715455Z,"[""page3-35"",""page9-46"",""page5-28"",""page7-107"",""page7-255"",""page-B""]",2026-03-01T17:36:41.022715455Z,,,25.0,2026-03-01T17:36:41.022715455Z,20260301_132907
01KJN7JJ4B103R31J8WHVA9DX7,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:36:41.099883208Z,3.0,2026-03-01T17:36:41.099883208Z,True,2026-03-01T17:54:00.109518982Z,01KJN6MMQ03KZPZN0275VZXK6R,2026-03-01T17:36:41.099883208Z,20,2026-03-01T17:36:41.099883208Z,False,2026-03-01T17:53:05.976914464Z,Phase 1: Block 4,2026-03-01T17:36:41.099883208Z,refgame,2026-03-01T17:36:41.099883208Z,1.0,2026-03-01T17:36:41.099883208Z,0.0,2026-03-01T17:36:41.099883208Z,2,2026-03-01T17:36:41.572693737Z,True,2026-03-01T17:53:05.364412084Z,page7-255,2026-03-01T17:36:41.099883208Z,2.0,2026-03-01T17:36:41.099883208Z,"[""page-B"",""page9-46"",""page7-255"",""page3-35"",""page5-28"",""page7-107""]",2026-03-01T17:36:41.099883208Z,,,20.0,2026-03-01T17:36:41.099883208Z,20260301_132907
01KJN7JJ4GCT1AQ6A0X5YF4F5Y,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:36:41.104327657Z,3.0,2026-03-01T17:36:41.104327657Z,True,2026-03-01T18:16:51.722824184Z,01KJN6MMQ03KZPZN0275VZXK6R,2026-03-01T17:36:41.104327657Z,59,2026-03-01T17:36:41.104327657Z,False,2026-03-01T18:16:25.122943837Z,Phase 2: Block 4,2026-03-01T17:36:41.104327657Z,refgame,2026-03-01T17:36:41.104327657Z,2.0,2026-03-01T17:36:41.104327657Z,0.0,2026-03-01T17:36:41.104327657Z,2,2026-03-01T17:36:42.316066205Z,True,2026-03-01T18:16:24.165492389Z,page7-107,2026-03-01T17:36:41.104327657Z,4.0,2026-03-01T17:36:41.104327657Z,"[""page-B"",""page9-46"",""page7-255"",""page5-28"",""page7-107"",""page3-35""]",2026-03-01T17:36:41.104327657Z,,,58.0,2026-03-01T17:36:41.104327657Z,20260301_132907
01KJN7K5N24QKEVGWFQFH8SHND,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:37:01.090752077Z,4.0,2026-03-01T17:37:01.090752077Z,True,2026-03-01T17:58:25.761304629Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T17:37:01.090752077Z,24,2026-03-01T17:37:01.090752077Z,False,2026-03-01T17:57:39.464600802Z,Phase 1: Block 5,2026-03-01T17:37:01.090752077Z,refgame,2026-03-01T17:37:01.090752077Z,1.0,2026-03-01T17:37:01.090752077Z,1.0,2026-03-01T17:37:01.090752077Z,2,2026-03-01T17:37:01.837661546Z,True,2026-03-01T17:57:38.972366611Z,page-B,2026-03-01T17:37:01.090752077Z,0.0,2026-03-01T17:37:01.090752077Z,"[""page-B"",""page3-35"",""page7-107"",""page5-28"",""page9-46"",""page7-255""]",2026-03-01T17:37:01.090752077Z,,,24.0,2026-03-01T17:37:01.090752077Z,20260301_132907
