id,experimentOpen,experimentOpenLastChangedAt,_sourceRun
01KJN655AB2F8VAHF46NVDQEV4,False,2026-03-01T17:37:37.446510338Z,20260301_132907
01KJP1G38XSXSHGP1HWCGEG4DT,False,2026-03-02T02:06:37.552900959Z,20260301_214147
