gameId,playerId,playerName,originalGroup,currentGroup,role,blockNum,phase,phaseNum,target,clicked,clickedCorrect,roundScore,roundId,trialNum,tangramSet,repNum
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AD4HAYZZ2TP80YYVT6CS2,Bavi,B,B,speaker,2.0,refgame,1.0,page9-46,,,1.0,01KJ1AQCN34B6JK52DGEAWXJTD,13.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AD4HAYZZ2TP80YYVT6CS2,Bavi,B,B,speaker,5.0,refgame,1.0,page9-46,,,2.0,01KJ1AQCYW4APJVZ69WE3YXV25,35.0,1.0,3.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZVZREV8CZAR4J758GGY,Player,A,A,listener,1.0,refgame,2.0,page9-27,,False,0.0,01KJ1AQCNDNY7Q0BQ6W4WPXZ5J,43.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZVZREV8CZAR4J758GGY,Player,A,B,listener,5.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ1AQD0M8ZAKNFA420SGXCN4,71.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36FC5TV0WE77HY2CRQEVK9,Lika,C,C,listener,1.0,refgame,1.0,page9-27,page9-27,True,2.0,01KJ36S9T2S39HVNGH39N87KWF,10.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36F4YDX6CZ5RBVN7KN0VFA,Player,C,B,listener,3.0,refgame,2.0,page1-128,page1-128,True,2.0,01KJ36S9ZJND79Q1PW99FJA5W1,59.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Player,C,B,listener,1.0,refgame,2.0,page3-85,page9-46,False,0.0,01KJ1AQCN6RX8JR8HSX2EMW6V0,47.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36H4JT5FXT099834BWVZ2X,Player,A,A,listener,1.0,refgame,2.0,page3-136,page3-136,True,2.0,01KJ36S9XDEWRKFADTFF5JSPS0,42.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ETQEFCRFP2MBHTV3TAYN,Player,B,B,speaker,1.0,refgame,2.0,page1-128,,,2.0,01KJ36S9WA0MCKBQG6JJMYCBFQ,44.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36JHZG7RJW8JFPYPM1ZBSD,Player,A,B,speaker,2.0,refgame,2.0,page9-27,,,2.0,01KJ36SA4Z4GX1QW223A8MDRK2,48.0,1.0,2.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36JHZG7RJW8JFPYPM1ZBSD,Player,A,C,listener,4.0,refgame,2.0,page3-136,page3-136,True,2.0,01KJ36S9ZW98KGWQV00FFSYZ77,60.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36F4YDX6CZ5RBVN7KN0VFA,Player,C,A,speaker,5.0,refgame,2.0,page3-85,,,2.0,01KJ36SAB66130N1PWFYWTKR3Y,70.0,1.0,3.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEJK9C91FE2EF1F6KAWDY,Hera,B,B,speaker,3.0,refgame,1.0,page5-64,,,2.0,01KJ1AQD0APYTJP182YNW71GQ4,22.0,1.0,3.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEMA6765ECKJ6NX8GGDF2,Lika,C,C,listener,5.0,refgame,1.0,page9-27,page9-27,True,2.0,01KJ1AQCZB2GMCTK4JYXQE8PN8,31.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,Player,B,B,speaker,1.0,refgame,2.0,page3-85,,,1.0,01KJ1AQCN6RX8JR8HSX2EMW6V0,47.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Player,C,A,listener,2.0,refgame,2.0,page3-136,page3-136,True,2.0,01KJ1AQCMZ2EKZ5H8M5RE8H4HS,48.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HPQGRRDA1JZ2BN1MDMN4,Minu,A,A,listener,5.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ36SA2A9SGW3CNY8YFN4JAZ,32.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,Zuda,B,B,listener,0.0,refgame,1.0,page1-128,page1-128,True,2.0,01KJ1AQCY4K9ACJQ950292HFTC,4.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEJK9C91FE2EF1F6KAWDY,Hera,B,B,listener,1.0,refgame,1.0,page3-85,page3-136,False,0.0,01KJ1AQCXMHT16Z6Z8GFC4PCZZ,8.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Player,C,B,speaker,5.0,refgame,2.0,page9-46,,,2.0,01KJ1AQCW0JSWN94B6NSFBP9R6,66.0,1.0,3.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HPQGRRDA1JZ2BN1MDMN4,Minu,A,A,listener,2.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ36S9S6SWECD4Z6V3EEA3DT,12.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,Zuda,B,B,speaker,1.0,refgame,1.0,page9-27,,,2.0,01KJ1AQCXXF4RNBACZJT6NJBQ4,6.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AH433HDWM46XC8PJAA0A7,Minu,A,A,listener,2.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ1AQCN34B6JK52DGEAWXJTD,13.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEMA6765ECKJ6NX8GGDF2,Lika,C,C,listener,5.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ1AQCYW4APJVZ69WE3YXV25,35.0,1.0,
