gameId,condition,tangramSet,numPlayers,activeGroups,phase1Blocks,phase2Blocks
01KJ121CTDA8X8M3KFS5Z0C2DA,social_mixed,1.0,9.0,3.0,6.0,6.0
01KJ121CV2XXJR278VTN5JZ3B0,,,,,,
01KJ121EE1901M9N1FKCNK0ZJH,,,,,,
01KJ33KJSZTPJ1ZX8A32CVKHSG,refer_mixed,1.0,9.0,3.0,6.0,6.0
01KJ3479MNF10K5EC2GFV071ZN,,,,,,
