"gameId","condition","coefficient","std_error","t_value","n_pairs"
"CeggQaQu28iwjnF6v","Mixed",-0.0317279114215485,0.0401098773422733,-0.79102489271662,180
"DYwdcHHmdgpLTuJ3S","Mixed",0.0423817268952176,0.0455797867274412,0.929836007102283,180
"HEt6rKsQYxWNMivtW","Mixed",0.0138249362094563,0.0423258982657322,0.32663066292557,180
"Ho7KBcTdiQgiorfmE","Mixed",-0.0425472204331944,0.0640970504395052,-0.663793733743653,180
"KJkKoLDwPyen6HS2o","Mixed",0.0108493869710293,0.0308687931317939,0.351467805194327,180
"MEJ8y7jRW4947MPrH","Mixed",0.000455415652438461,0.0815580557205463,0.0055839444480986,180
"SRBofppfmKZ4dhpv2","Mixed",0.0216726880106639,0.033239089551161,0.652024116885203,180
"Tg2JqdT9ugXdkqWsC","Mixed",-0.0177170341075564,0.0277438526376121,-0.638593144902217,180
"WLGtWa6XCcSnB2FtQ","Mixed",-0.0174754654505741,0.0404588709698409,-0.431931614295436,180
"nXrmexCXGjupFQApH","Mixed",-0.0329751033611842,0.0434321854191368,-0.759231962263978,180
"xKTsk28qPp6F5oEnP","Mixed",0.0340479923481232,0.0734275205900508,0.463695247701671,180
"y8EQv9bh29FEwLNLN","Mixed",-0.0230624833040775,0.0474059345162383,-0.486489371835456,180
"ySXtT2jt2GREwjvGt","Mixed",-0.0351169148667012,0.0956711790153719,-0.367058451961367,180
