gameId,playerId,originalGroup,target,blockNum,phase,phaseNum,repNum,simAdjacent
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page-B,3.0,refgame,1.0,3.0,0.8066766858100891
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page-B,3.0,refgame,2.0,4.0,0.3087725043296814
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page3-35,0.0,refgame,1.0,2.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page3-35,0.0,refgame,2.0,1.0,0.5755037069320679
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page3-35,3.0,refgame,1.0,4.0,0.7750892639160156
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page3-35,3.0,refgame,2.0,3.0,0.9019918441772461
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page5-28,0.0,refgame,1.0,2.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page5-28,0.0,refgame,2.0,1.0,0.7986283302307129
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page5-28,3.0,refgame,2.0,3.0,0.8593188524246216
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page5-28,3.0,refgame,1.0,4.0,0.9402878284454346
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,0.0,refgame,1.0,2.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,0.0,refgame,2.0,1.0,0.5623167753219604
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,3.0,refgame,1.0,4.0,0.8648979067802429
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,3.0,refgame,2.0,3.0,0.7991212606430054
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,0.0,refgame,2.0,1.0,
