gameId,playerId,originalGroup,target,blockNum,phase,phaseNum,repNum,simAdjacent
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,0.0,refgame,1.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page7-107,1.0,refgame,1.0,1.0,0.8278357982635498
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-107,2.0,refgame,1.0,1.0,0.6321688294410706
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,3.0,refgame,1.0,2.0,0.7555444240570068
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page7-107,4.0,refgame,1.0,2.0,0.9428485631942749
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-107,5.0,refgame,1.0,2.0,0.7602548599243164
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,0.0,refgame,2.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page7-107,1.0,refgame,2.0,1.0,0.8964447975158691
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-107,2.0,refgame,2.0,1.0,0.6914982795715332
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,3.0,refgame,2.0,2.0,0.6421762108802795
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-107,5.0,refgame,2.0,2.0,0.6020599603652954
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,0.0,refgame,1.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page7-255,1.0,refgame,1.0,1.0,0.6040743589401245
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-255,2.0,refgame,1.0,1.0,0.6033759117126465
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,3.0,refgame,1.0,2.0,0.6239364147186279
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page7-255,4.0,refgame,1.0,2.0,0.813101053237915
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-255,5.0,refgame,1.0,2.0,0.8430424332618713
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,0.0,refgame,2.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page7-255,1.0,refgame,2.0,1.0,0.6768761873245239
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-255,2.0,refgame,2.0,1.0,0.45843034982681274
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,3.0,refgame,2.0,2.0,0.3744046092033386
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page7-255,4.0,refgame,2.0,2.0,0.28270649909973145
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-255,5.0,refgame,2.0,2.0,0.5249334573745728
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,0.0,refgame,1.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,1.0,refgame,1.0,1.0,0.7281948924064636
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page9-46,2.0,refgame,1.0,1.0,0.5637683868408203
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,3.0,refgame,1.0,2.0,0.7834389805793762
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,4.0,refgame,1.0,2.0,0.7149410247802734
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page9-46,5.0,refgame,1.0,2.0,0.631069540977478
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,0.0,refgame,2.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,1.0,refgame,2.0,1.0,0.6674461364746094
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page9-46,2.0,refgame,2.0,1.0,0.6088221073150635
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,3.0,refgame,2.0,2.0,0.8335639238357544
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,4.0,refgame,2.0,2.0,0.8129147887229919
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page9-46,5.0,refgame,2.0,2.0,0.9130709767341614
