gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,window,metric
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.2583613991737366,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,1.0000001192092896,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,1.0000001192092896,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.20349036157131195,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.2609076201915741,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN791EPN054R2NTQQ1BFXJ5,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.15516790747642517,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78B0TFR8F59JDGD057XNS,A,A,1,0.5704102516174316,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.2583613991737366,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN791EPN054R2NTQQ1BFXJ5,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,1.0000001192092896,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78CQJ3KY7VMGAR6F3D4S0,A,B,0,1.0000001192092896,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78JVY5FN5QXW9XGGE72RG,A,A,1,0.20349036157131195,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN791EPN054R2NTQQ1BFXJ5,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.2609076201915741,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN796KT7FCNV2F9QNCQDSES,01KJN78B0TFR8F59JDGD057XNS,C,A,0,0.17735667526721954,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN796KT7FCNV2F9QNCQDSES,01KJN78M7563R5D9TQE5G142DA,C,C,1,0.5872944593429565,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN796KT7FCNV2F9QNCQDSES,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.15516790747642517,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN796KT7FCNV2F9QNCQDSES,01KJN78CQJ3KY7VMGAR6F3D4S0,C,B,0,0.15516790747642517,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN796KT7FCNV2F9QNCQDSES,01KJN78JVY5FN5QXW9XGGE72RG,C,A,0,0.053842511028051376,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN796KT7FCNV2F9QNCQDSES,01KJN79ZDP3YNFFHHQA302PJDP,C,C,1,0.6201788783073425,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.27216577529907227,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.5704102516174316,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN78CQJ3KY7VMGAR6F3D4S0,A,B,0,0.5704102516174316,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN78JVY5FN5QXW9XGGE72RG,A,A,1,0.4784664809703827,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78B0TFR8F59JDGD057XNS,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.3023883104324341,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78M7563R5D9TQE5G142DA,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.2583613991737366,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78M7563R5D9TQE5G142DA,01KJN78CQJ3KY7VMGAR6F3D4S0,C,B,0,0.2583613991737366,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78M7563R5D9TQE5G142DA,01KJN78JVY5FN5QXW9XGGE72RG,C,A,0,0.140291228890419,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78M7563R5D9TQE5G142DA,01KJN79ZDP3YNFFHHQA302PJDP,C,C,1,0.7205576300621033,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,1.0000001192092896,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.20349036157131195,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.2609076201915741,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.20349036157131195,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.2609076201915741,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.17021745443344116,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.1962312012910843,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.7532922625541687,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,0.8810910582542419,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.17944788932800293,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.7386612892150879,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78B0TFR8F59JDGD057XNS,B,A,0,0.1546476185321808,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.5130153894424438,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,0.4571465253829956,phase1_final,first_phrase
