gameId,playerId,originalGroup,currentGroup,tangramSet,blockNum,trialNum,phase,phaseNum,target,repNum,utterance,uttLength,umap_x,umap_y
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,A,0.0,0.0,0.0,refgame,1.0,page7-107,1.0,"there is a diamond shape in the middle of this shape, towards its rightside. the left side has three spikes",20,5.2578483,-0.12101979
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,0.0,0.0,0.0,refgame,1.0,page7-107,1.0,this shape has an open square in the middle,9,3.0890265,2.690771
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,A,0.0,0.0,1.0,refgame,1.0,page5-28,1.0,this looks like a bottle that tipped over. the head is on the right side,15,-3.2013085,6.2319527
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,0.0,0.0,1.0,refgame,1.0,page5-28,1.0,this shape has a large rectangle then a square and than a slanted square at the end,17,2.8864067,3.1846013
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,1.0,7.0,refgame,1.0,page5-28,1.0,"Long rectangle, connected by a square then a diamond on its side",12,4.9111543,0.39157566
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,1.0,7.0,refgame,1.0,page5-28,1.0,bottle spilled over,3,-3.3184621,6.3432035
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,1.0,7.0,refgame,1.0,page5-28,1.0,"Long recutanle on the left side, rectangle",7,2.6109312,3.4580069
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,1.0,8.0,refgame,1.0,page7-107,1.0,Diamond hole in the middle of this shape,8,5.789919,-0.12149131
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,1.0,8.0,refgame,1.0,page7-107,1.0,"looks like a diamond that is white in center, spikes on left side of shape",15,5.199959,-0.27550915
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,1.0,8.0,refgame,1.0,page7-107,1.0,diamond in middle,3,5.5910096,-1.5705049
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,0.0,5.0,30.0,refgame,1.0,page7-107,2.0,diamond cutout,2,5.1913304,-4.528028
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,A,0.0,5.0,30.0,refgame,1.0,page7-107,2.0,diamond cut out in middle,5,4.666409,-4.7416663
01KJN6MMPQTMDYRN709968YFN1,01KJN79ZDP3YNFFHHQA302PJDP,C,C,0.0,5.0,30.0,refgame,1.0,page7-107,2.0,Diamond shaped item from earlier,5,5.374419,-0.7453266
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,A,0.0,2.0,51.0,refgame,2.0,page3-35,1.0,birdhouse,1,11.394853,1.25284
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,B,0.0,2.0,51.0,refgame,2.0,page3-35,1.0,birdhouse,1,11.385021,1.2260119
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,4.0,26.0,refgame,1.0,page7-107,2.0,diamond hole cutout,3,5.220917,-4.5143323
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,4.0,26.0,refgame,1.0,page7-107,2.0,"white diamond cut out, looks like mario fireball",8,4.1976933,-4.6256237
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,4.0,26.0,refgame,1.0,page7-107,2.0,white diamond in middle,4,5.4426756,-0.69178796
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,4.0,25.0,refgame,1.0,page3-35,2.0,birdhouse,1,11.37508,1.1925585
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,4.0,25.0,refgame,1.0,page3-35,2.0,"birdhouse, mailbox",2,11.822722,0.28784052
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,4.0,25.0,refgame,1.0,page3-35,2.0,game pieces chosen a few time already,7,3.7572346,1.848171
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,1.0,44.0,refgame,2.0,page7-255,1.0,bunny,1,-6.336376,-0.92836255
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,1.0,44.0,refgame,2.0,page7-255,1.0,"on top triangle pointing to the right, square cut out in top left, weird shape",15,2.4598422,1.8313273
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,A,0.0,2.0,50.0,refgame,2.0,page5-28,1.0,"rectangle, small rectangle, diamond",4,5.045243,0.3648608
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,B,0.0,2.0,50.0,refgame,2.0,page5-28,1.0,tipped bottle,2,-3.340676,6.365456
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,4.0,29.0,refgame,1.0,page7-255,2.0,bunny,1,-6.4073815,-0.9851231
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,4.0,29.0,refgame,1.0,page7-255,2.0,"triangle on top facing right, jarble of a mess, of random shapes",12,2.7577019,1.6602117
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,4.0,29.0,refgame,1.0,page7-255,2.0,bird flying to right side already chosen,7,2.496409,-1.2711622
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,A,0.0,4.0,60.0,refgame,2.0,page7-107,2.0,"fireball, diamond cutout",3,4.1726413,-4.658985
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,1.0,47.0,refgame,2.0,page7-107,1.0,fireball with diamond cutout in middle,6,4.0391808,-4.5956564
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,1.0,47.0,refgame,2.0,page7-107,1.0,"diamond cut out in middle, looks liek fire ball",9,4.0737486,-4.530809
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,0.0,1.0,6.0,refgame,1.0,page3-35,1.0,Birdhouse,1,11.285276,1.2031562
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,0.0,1.0,6.0,refgame,1.0,page3-35,1.0,"birdhouse, trapezoid on bottom, house on top",7,11.260338,0.3713265
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,C,C,0.0,1.0,6.0,refgame,1.0,page3-35,1.0,The game piece mentioned earlier,5,3.7224953,1.7983454
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,A,0.0,0.0,4.0,refgame,1.0,page3-35,1.0,"this looks like a candlestick, stood up. the top is two right triangles butted up together. there is a triangle base",21,3.220862,1.5342562
01KJN6MMPQTMDYRN709968YFN1,01KJN78M7563R5D9TQE5G142DA,C,C,0.0,0.0,4.0,refgame,1.0,page3-35,1.0,Looks like something you would see in a board game that's very popular,13,3.1355033,1.9232343
