gameId,playerId,originalGroup,target,simPhase1Phase2,simP1FinalP2Early,condition
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page-B,0.752310574054718,0.5907206535339355,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page3-35,1.0000001192092896,1.0000001192092896,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page5-28,0.19733934104442596,0.17311759293079376,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page7-107,0.6600772738456726,0.5650377869606018,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page7-255,1.000000238418579,1.000000238418579,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page9-46,0.9149811863899231,0.8948900103569031,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page-B,0.3087725043296814,0.5455848574638367,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page3-35,0.9019918441772461,0.7750891447067261,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page5-28,0.9402878284454346,0.9178156852722168,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-107,0.7991213798522949,0.8648978471755981,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,0.6245995759963989,0.7809785604476929,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,0.8883917927742004,0.9056211709976196,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page-B,1.0,1.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page3-35,1.0000001192092896,1.0000001192092896,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page5-28,0.2158895581960678,0.9381473660469055,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-107,0.8334113359451294,0.9178651571273804,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-255,1.000000238418579,1.000000238418579,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page9-46,0.8150920867919922,0.8324376344680786,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page-B,1.0,1.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page3-35,1.0,0.20349036157131195,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page5-28,0.9437153339385986,0.9437153339385986,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-107,0.9347645044326782,0.8797135353088379,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-255,0.5972180366516113,0.47980040311813354,refer_mixed
