gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,blockNum,phaseNum
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.3716889023780823,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,0.3949287533760071,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.19209185242652893,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.10129909962415695,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.12230886518955231,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.02532677724957466,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.00495152547955513,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.03953678160905838,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.02253102697432041,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,0.7704386711120605,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.07689268887042999,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.247385635972023,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,0.6404236555099487,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.19625666737556458,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.07536400109529495,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.2617161273956299,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78M7563R5D9TQE5G142DA,01KJN791EPN054R2NTQQ1BFXJ5,C,A,0,0.36653804779052734,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78M7563R5D9TQE5G142DA,01KJN796KT7FCNV2F9QNCQDSES,C,C,1,0.1636728197336197,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78M7563R5D9TQE5G142DA,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.11665517836809158,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78M7563R5D9TQE5G142DA,01KJN79ZDP3YNFFHHQA302PJDP,C,C,1,0.23921465873718262,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN791EPN054R2NTQQ1BFXJ5,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.2999759912490845,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN791EPN054R2NTQQ1BFXJ5,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.1137106865644455,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN791EPN054R2NTQQ1BFXJ5,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.2618439197540283,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN796KT7FCNV2F9QNCQDSES,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.04837809503078461,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN796KT7FCNV2F9QNCQDSES,01KJN79ZDP3YNFFHHQA302PJDP,C,C,1,0.27928000688552856,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.15041756629943848,3.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78B0TFR8F59JDGD057XNS,B,A,0,0.04171660169959068,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,0.7236281633377075,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,-0.019068140536546707,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.06695233285427094,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.021843044087290764,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.006719622761011124,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,0.8164536356925964,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.11327287554740906,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN78CQJ3KY7VMGAR6F3D4S0,A,B,0,0.011798281222581863,4.0,1.0
