gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,participantPair,window
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.1012989729642868,01KJN78B0TFR8F59JDGD057XNS_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN78CQJ3KY7VMGAR6F3D4S0,A,B,0,0.05297175794839859,01KJN78B0TFR8F59JDGD057XNS_01KJN78CQJ3KY7VMGAR6F3D4S0,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN78JVY5FN5QXW9XGGE72RG,A,A,1,0.6461703777313232,01KJN78B0TFR8F59JDGD057XNS_01KJN78JVY5FN5QXW9XGGE72RG,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.16288168728351593,01KJN78B0TFR8F59JDGD057XNS_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN788SPAKVVBHX9T9FDQWAF,A,B,0,0.041716549545526505,01KJN788SPAKVVBHX9T9FDQWAF_01KJN78B0TFR8F59JDGD057XNS,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,0.6461703777313232,01KJN78B0TFR8F59JDGD057XNS_01KJN791EPN054R2NTQQ1BFXJ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78B0TFR8F59JDGD057XNS,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.13393399119377136,01KJN78B0TFR8F59JDGD057XNS_01KJN796KT7FCNV2F9QNCQDSES,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,0.903596043586731,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.007970333099365234,01KJN78JVY5FN5QXW9XGGE72RG_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.1382783055305481,01KJN79Y7T0VZNKHTSJRZWTDZ5_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,0.8164535760879517,01KJN788SPAKVVBHX9T9FDQWAF_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.007970333099365234,01KJN791EPN054R2NTQQ1BFXJ5_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79Y7T0VZNKHTSJRZWTDZ5,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.034376420080661774,01KJN796KT7FCNV2F9QNCQDSES_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN78JVY5FN5QXW9XGGE72RG,B,A,0,0.02874165214598179,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN78JVY5FN5QXW9XGGE72RG,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN79ZDP3YNFFHHQA302PJDP,B,C,0,0.09423540532588959,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,0.9425531625747681,01KJN788SPAKVVBHX9T9FDQWAF_01KJN78CQJ3KY7VMGAR6F3D4S0,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.02874165214598179,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN791EPN054R2NTQQ1BFXJ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78CQJ3KY7VMGAR6F3D4S0,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.04303405433893204,01KJN78CQJ3KY7VMGAR6F3D4S0_01KJN796KT7FCNV2F9QNCQDSES,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.08219563215970993,01KJN78JVY5FN5QXW9XGGE72RG_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN788SPAKVVBHX9T9FDQWAF,A,B,0,0.06131095439195633,01KJN788SPAKVVBHX9T9FDQWAF_01KJN78JVY5FN5QXW9XGGE72RG,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,1.0,01KJN78JVY5FN5QXW9XGGE72RG_01KJN791EPN054R2NTQQ1BFXJ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN78JVY5FN5QXW9XGGE72RG,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.17829342186450958,01KJN78JVY5FN5QXW9XGGE72RG_01KJN796KT7FCNV2F9QNCQDSES,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79ZDP3YNFFHHQA302PJDP,01KJN788SPAKVVBHX9T9FDQWAF,C,B,0,0.05370663106441498,01KJN788SPAKVVBHX9T9FDQWAF_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79ZDP3YNFFHHQA302PJDP,01KJN791EPN054R2NTQQ1BFXJ5,C,A,0,0.08219563215970993,01KJN791EPN054R2NTQQ1BFXJ5_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN79ZDP3YNFFHHQA302PJDP,01KJN796KT7FCNV2F9QNCQDSES,C,C,1,0.36523112654685974,01KJN796KT7FCNV2F9QNCQDSES_01KJN79ZDP3YNFFHHQA302PJDP,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.06131095439195633,01KJN788SPAKVVBHX9T9FDQWAF_01KJN791EPN054R2NTQQ1BFXJ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN788SPAKVVBHX9T9FDQWAF,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.006719622761011124,01KJN788SPAKVVBHX9T9FDQWAF_01KJN796KT7FCNV2F9QNCQDSES,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page-B,01KJN791EPN054R2NTQQ1BFXJ5,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.17829342186450958,01KJN791EPN054R2NTQQ1BFXJ5_01KJN796KT7FCNV2F9QNCQDSES,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.6916611790657043,01KJN788SPAKVVBHX9T9FDQWAF_01KJN791EPN054R2NTQQ1BFXJ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.15516787767410278,01KJN788SPAKVVBHX9T9FDQWAF_01KJN796KT7FCNV2F9QNCQDSES,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78B0TFR8F59JDGD057XNS,B,A,0,0.5704101920127869,01KJN788SPAKVVBHX9T9FDQWAF_01KJN78B0TFR8F59JDGD057XNS,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.2583613991737366,01KJN788SPAKVVBHX9T9FDQWAF_01KJN78M7563R5D9TQE5G142DA,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,1.0000001192092896,01KJN788SPAKVVBHX9T9FDQWAF_01KJN79Y7T0VZNKHTSJRZWTDZ5,phase1_final
01KJN6MMPQTMDYRN709968YFN1,page3-35,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,1.0000001192092896,01KJN788SPAKVVBHX9T9FDQWAF_01KJN78CQJ3KY7VMGAR6F3D4S0,phase1_final
