gameId,playerId,playerName,originalGroup,currentGroup,role,blockNum,phase,phaseNum,target,clicked,clickedCorrect,roundScore,roundId,lateClick,clickedAt,tangramSelectedAt,selectionRenderedAt,socialGuessSelectedAt,selectionRt,socialGuessRt,timeout,lateSocialGuess,trialNum,reshuffleMode,tangramSet,selectionStartedAt,selectionEndedAt,selectionDurationMs,repNum,speakerId,inGroupSpeaker,groupSize,speakerReassigned,hasSpeakerMessage,responseOpportunity,serverSpeakerId,serverInGroupListener,serverGroupSize,reshuffleGroups,reshuffleTrios,reshuffleTriosOk,reshufflePairs,excluded,exclusionReason
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,Bavi,B,B,speaker,2.0,refgame,1.0,page5-28,,,2.0,01KJN7JHZM2WM100YZYN6HXHWY,False,,,,,,,False,False,13.0,,0.0,1772387287191,1772387324321,37130,1.0,01KJN7A44GGBE9XR412KV5BFSC,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,Minu,A,A,speaker,4.0,refgame,1.0,page7-107,,,2.0,01KJN7K5G2ENPCM8MXBD0JEWNB,False,,,,,,,False,False,26.0,,0.0,1772387935343,1772387955271,19928,2.0,01KJN791EPN054R2NTQQ1BFXJ5,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7931DXZ65NXTWK1GNEZMW,Nori,C,C,listener,3.0,refgame,2.0,page-B,page-B,True,2.0,01KJN7KZ53A9914CYGA6DKSVTE,False,,,,,,,False,False,54.0,,0.0,1772388333789,1772388353858,20069,,01KJN79ZQD1E4YD03FE5CGJY8K,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,Player,A,B,speaker,2.0,refgame,2.0,page5-28,,,2.0,01KJN7K5H5ZRHXSPNRV2ZHHSXR,False,,,,,,,False,False,50.0,,0.0,1772388673634,1772388691807,18173,1.0,01KJN78JVY5FN5QXW9XGGE72RG,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,Player,A,B,listener,4.0,refgame,2.0,page7-255,page7-255,True,2.0,01KJN7K5KA3E984TAA3QPV7RDV,False,,,,,,,False,False,61.0,,0.0,1772388899495,1772388914994,15499,,01KJN791EPN054R2NTQQ1BFXJ5,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,Player,B,B,speaker,4.0,refgame,2.0,page-B,,,2.0,01KJN7K5K20BTBV5B0XHZTHSK8,False,,,,,,,False,False,64.0,,0.0,1772388962366,1772388972779,10413,2.0,01KJN788SPAKVVBHX9T9FDQWAF,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,Player,A,A,speaker,5.0,refgame,2.0,page7-255,,,2.0,01KJN7K5QNDHCB49S4Q90QXRYG,False,,,,,,,False,False,67.0,,0.0,1772389025099,1772389044573,19474,2.0,01KJN78JVY5FN5QXW9XGGE72RG,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN796KT7FCNV2F9QNCQDSES,Felu,C,C,listener,0.0,refgame,1.0,page7-107,,False,0.0,01KJN7K5FA1TQ33CB0SW5804S0,False,,,,,,,True,False,0.0,,0.0,1772386630486,1772386675490,45004,,01KJN78M7563R5D9TQE5G142DA,True,3,False,False,False,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,Lika,C,C,speaker,0.0,refgame,1.0,page5-28,,,1.0,01KJN7JHZFFFSQ6C949D4A45VQ,False,,,,,,,False,False,2.0,,0.0,1772386731115,1772386774129,43014,1.0,01KJN79J529BWBWTESKB6D9MB7,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,Player,A,A,listener,4.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJN7K5RH8WAK5SD7F93EBYXB,False,,,,,,,False,False,65.0,,0.0,1772388983249,1772388994056,10807,,01KJN788SPAKVVBHX9T9FDQWAF,False,3,False,True,True,,,,,,,,False,
